participant_id,activity_instance_id,activity_attendance,fiscal_year,activity_name,activity_category,activity_label,school,start_date,end_date,total_program_days
46856497,3440566,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2018-09-13,2018-09-13,0
46856497,3474121,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Skate Club),Mission HS,2018-10-18,2018-10-18,0
46856497,3474149,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2018-11-08,2018-11-08,0
46856497,3535966,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2019-05-02,2019-05-02,0
46856497,3538029,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Pritchard),Mission HS,2019-05-23,2019-05-23,0
46856557,3538029,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Pritchard),Mission HS,2019-05-23,2019-05-23,0
46856759,3499367,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Mufti),Mission HS,2019-02-14,2019-02-14,0
46857181,3384580,77,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Mission Surfing 101 Course,Mission HS,2018-08-20,2019-05-29,282
46857181,3499217,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Dragonboat),Mission HS,2019-03-21,2019-03-21,0
46857186,3384580,67,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Mission Surfing 101 Course,Mission HS,2018-08-20,2019-05-29,282
46857421,3474515,2,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Independence HS Surfing 101/ 2018-2019 School Year,Independence HS,2018-08-28,2019-05-21,266
46857740,3384580,67,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Mission Surfing 101 Course,Mission HS,2018-08-20,2019-05-29,282
46857758,3517784,5,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Week Without Walls (March 2019),Leadership HS Charter,2019-03-18,2019-03-22,4
46857834,3421146,2,FY2018-2019,Surfers In Leadership Training (SILT),Grades K-12 - Summer,SILT Summer Surf Day Camps,Mission HS,2018-07-10,2018-08-02,23
46857834,3440566,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2018-09-13,2018-09-13,0
46857834,3440661,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Kimball),Mission HS,2018-09-20,2018-09-20,0
46857834,3454339,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2018-12-21,2018-12-21,0
46857834,3474121,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Skate Club),Mission HS,2018-10-18,2018-10-18,0
46857834,3474149,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2018-11-08,2018-11-08,0
46857834,3480978,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2019-02-21,2019-02-21,0
46857834,3499217,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Dragonboat),Mission HS,2019-03-21,2019-03-21,0
46857834,3526992,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2019-03-07,2019-03-07,0
46857834,3528219,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2019-04-04,2019-04-04,0
46857834,3535966,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2019-05-02,2019-05-02,0
46857834,3620656,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Mission Surf Club,Mission HS,2019-05-18,2019-05-18,0
46857834,3621419,3,FY2018-2019,Surfers In Leadership Training (SILT),Grades K-12 - Summer,SILT 2019 Backpacking/Camp/Surf Training,Mission HS,2019-06-08,2019-06-13,5
46857910,3417045,15,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Leadership Surfing 101,Leadership HS Charter,2018-08-29,2019-05-22,266
46857910,3517784,4,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Week Without Walls (March 2019),Leadership HS Charter,2019-03-18,2019-03-22,4
46858392,3499367,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Mufti),Mission HS,2019-02-14,2019-02-14,0
46858397,3440566,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2018-09-13,2018-09-13,0
46858397,3474149,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2018-11-08,2018-11-08,0
46858930,3528219,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2019-04-04,2019-04-04,0
46858962,3440661,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Kimball),Mission HS,2018-09-20,2018-09-20,0
46858992,3384580,58,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Mission Surfing 101 Course,Mission HS,2018-08-20,2019-05-29,282
46859030,3420508,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Shafer),Mission HS,2018-08-30,2018-08-30,0
46859347,3476343,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field (Fiengold-Shaw),Mission HS,2018-11-01,2018-11-01,0
46859410,3420417,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Finegold-Shaw),Mission HS,2018-09-27,2018-09-27,0
46859411,3527022,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Feingold-Shaw),Mission HS,2019-03-14,2019-03-14,0
