Program_Name,Fiscal_year,Activity_Name,Activity_category,Activity_Instance_ID,Activity_Label,Service_site_name,School,Service_Site_Address,Start_date,End_date,Days_of_week,Time,Total_program_days
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3480978,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-02-21,2019-02-21,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3488181,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-01-31,2019-01-31,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3535966,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-05-02,2019-05-02,Th,11:15 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3747616,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-11-14,2019-11-14,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3792218,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2020-01-16,2020-01-16,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3707189,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-09-12,2019-09-12,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3743686,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-10-10,2019-10-10,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3805715,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2020-02-13,2020-02-13,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3774731,Surf Field Trip (Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-12-20,2019-12-20,F,8:30 AM-4:00 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3805659,Surf Field Trip (White),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2020-02-06,2020-02-06,Th,11:30 AM-3:30 PM,0
